feature,value,precision,recall,fbeta_score
native-country,Yugoslavia,0.8,0.6666666666666666,0.7272727272727272
native-country,Peru,1.0,0.5,0.6666666666666666
native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country,Scotland,1.0,0.5,0.6666666666666666
native-country,Trinadad&Tobago,1.0,0.5,0.6666666666666666
native-country,Greece,0.75,0.75,0.75
native-country,Nicaragua,1.0,0.0,0.0
native-country,Vietnam,0.4,0.4,0.4000000000000001
native-country,Hong,0.8333333333333334,0.8333333333333334,0.8333333333333334
native-country,Ireland,1.0,0.6,0.7499999999999999
native-country,Hungary,1.0,0.3333333333333333,0.5
native-country,Holand-Netherlands,1.0,1.0,1.0
